"","treeid_num","tree_ID","X","bloc","treatment","genus","species","year","height","diameter","notes","spp_num","aboveGroundWeight","mean","per5","per25","per75","per95","mul"
"1",1,"Acne_CoolS/CoolF_B1_R1",1261,1,"CoolS/CoolF","acer","acer_negundo",2025,52.3,8.15,NA,1,6.1,8.35996964116027,2.28047665749874,5.95817929197972,10.8120068267167,14.2310241467954,3473.89675
"2",2,"Acne_CoolS/CoolF_B1_R2",1262,1,"CoolS/CoolF","acer","acer_negundo",2025,53.1,8.75,NA,1,6.4,8.87124472537887,2.74457411657705,6.36971601810012,11.3844225302882,14.9860114336554,4065.46875
"3",3,"Acne_CoolS/CoolF_B1_R3",1263,1,"CoolS/CoolF","acer","acer_negundo",2025,69.3,9.61,NA,1,11.4,10.5322212316811,4.31317834153834,7.97622996543494,13.0674099120823,16.5440918964779,6400.00053
"4",4,"Acne_CoolS/CoolF_B1_R4",1264,1,"CoolS/CoolF","acer","acer_negundo",2025,49.2,8.23,NA,1,7.6,8.13103824685523,2.01674539563866,5.63744855645226,10.6510372575779,14.2094123066104,3332.45868
"5",5,"Acne_CoolS/CoolF_B1_R5",1265,1,"CoolS/CoolF","acer","acer_negundo",2025,87.9,8.84,NA,1,13.4,10.9053339191583,4.65847398088825,8.38866696080177,13.4066655982198,17.1775144108493,6868.99824
"6",6,"Acne_CoolS/CoolF_B2_R6",1266,2,"CoolS/CoolF","acer","acer_negundo",2025,71.9,9.1,NA,1,12.54,10.2113611682466,4.0562232492693,7.63271586670119,12.6819415910266,16.3581314570855,5954.039
"7",7,"Acne_CoolS/CoolF_B2_R7",1267,2,"CoolS/CoolF","acer","acer_negundo",2025,52.1,8.13,NA,1,7.41,8.25645926373217,2.14717816663262,5.75076161123452,10.7343608828535,14.3740298370628,3443.64849
"8",8,"Acne_CoolS/CoolF_B2_R8",1268,2,"CoolS/CoolF","acer","acer_negundo",2025,91.7,9.12,NA,1,13.37,11.3845239203355,5.31717649272871,8.80881694624142,13.9091588218108,17.5967276176343,7627.09248
"9",9,"Acne_CoolS/CoolF_B2_R9",1269,2,"CoolS/CoolF","acer","acer_negundo",2025,67.9,10.33,NA,1,12.53,11.1039263879273,4.86734879393922,8.60401857351091,13.610930978939,17.3160515223488,7245.53431
"10",10,"Acne_CoolS/CoolF_B2_R10",1270,2,"CoolS/CoolF","acer","acer_negundo",2025,49.5,8.14,NA,1,8.03,8.09780218444469,1.8834493587063,5.5810632370122,10.6403014641373,14.2905415962057,3279.8502
"11",11,"Acne_CoolS/CoolF_B3_R11",1271,3,"CoolS/CoolF","acer","acer_negundo",2025,60.4,7.29,NA,1,7.85,7.95637971059643,1.75372051970527,5.4097322438037,10.4819985489513,14.1193246553587,3209.90364
"12",12,"Acne_CoolS/CoolF_B3_R12",1272,3,"CoolS/CoolF","acer","acer_negundo",2025,49.4,5.33,NA,1,3.83,5.83921683313867,-0.275509716588727,3.2842177751563,8.37687572872039,11.9635392006462,1403.39966
"13",13,"Acne_CoolS/CoolF_B3_R13",1273,3,"CoolS/CoolF","acer","acer_negundo",2025,54.4,6.82,NA,1,5.31,7.28322178198662,1.13151447908697,4.74889312164727,9.77632143460684,13.3881080982169,2530.27456
"14",14,"Acne_CoolS/CoolF_B3_R14",1274,3,"CoolS/CoolF","acer","acer_negundo",2025,55.3,6.84,NA,1,6.02,7.41238871917541,1.214059991573,4.91465749208204,9.99544296747221,13.5771256792131,2587.24368
"15",15,"Acne_CoolS/CoolF_B3_R15",1275,3,"CoolS/CoolF","acer","acer_negundo",2025,58.6,7.15,NA,1,7.24,7.80577503500735,1.69962736324311,5.28511907186887,10.311982746129,13.9931063368155,2995.7785
"16",16,"Acne_WarmS/CoolF_B1_R1",1276,1,"WarmS/CoolF","acer","acer_negundo",2025,51.1,9.06,NA,1,9.92,8.89222124475279,2.62305880801577,6.41054949761929,11.4253108140989,15.1359404310891,4194.47196
"17",17,"Acne_WarmS/CoolF_B1_R2",1277,1,"WarmS/CoolF","acer","acer_negundo",2025,45.3,6.8,NA,1,5.72,6.85049048755051,0.706929038579895,4.36580223071894,9.46809897800087,12.9047414355469,2094.672
"18",18,"Acne_WarmS/CoolF_B1_R3",1278,1,"WarmS/CoolF","acer","acer_negundo",2025,60.5,9.25,NA,1,12.11,9.74610624804567,3.71939775182357,7.22588975816286,12.2397655260967,15.857948390869,5176.53125
"19",19,"Acne_WarmS/CoolF_B1_R4",1279,1,"WarmS/CoolF","acer","acer_negundo",2025,62.2,8.89,NA,1,10.55,9.46539243031279,3.13877480325089,6.94284507473358,11.9483243606577,15.7723195094931,4915.79662
"20",20,"Acne_WarmS/CoolF_B1_R5",1280,1,"WarmS/CoolF","acer","acer_negundo",2025,65.1,7.05,NA,1,8.44,8.02095054969395,1.73651709015539,5.45831920080174,10.5362051102078,14.159551282511,3235.63275
"21",21,"Acne_WarmS/CoolF_B2_R6",1281,2,"WarmS/CoolF","acer","acer_negundo",2025,44.6,6.61,NA,1,5.27,6.57551820265976,0.315960759121974,4.07834374008858,9.11305453113627,12.7625940245597,1948.66766
"22",22,"Acne_WarmS/CoolF_B2_R7",1282,2,"WarmS/CoolF","acer","acer_negundo",2025,80.4,8.63,NA,1,11.38,10.2691199009953,4.14583767224934,7.7893135506589,12.7122818354101,16.4756286539843,5987.94276
"23",23,"Acne_WarmS/CoolF_B2_R8",1283,2,"WarmS/CoolF","acer","acer_negundo",2025,76.4,9.08,NA,1,12.75,10.4495778812224,4.42705132287334,7.88231435253999,12.9610441387584,16.6284289869945,6298.90496
"24",24,"Acne_WarmS/CoolF_B2_R9",1284,2,"WarmS/CoolF","acer","acer_negundo",2025,59,7.35,NA,1,7.53,7.99997254255248,1.92168827539804,5.45774642313091,10.4514285376071,14.32008709324,3187.3275
"25",25,"Acne_WarmS/CoolF_B2_R10",1285,2,"WarmS/CoolF","acer","acer_negundo",2025,50.9,7.05,NA,1,5.86,7.31026291221841,1.28621895435009,4.86881140384594,9.79939789461015,13.36706704406,2529.85725
"26",26,"Acne_WarmS/CoolF_B3_R11",1286,3,"WarmS/CoolF","acer","acer_negundo",2025,46.6,8.54,NA,1,7.46,8.21490082785825,2.1587981413976,5.67966525590807,10.7040890253034,14.3706489288063,3398.61256
"27",27,"Acne_WarmS/CoolF_B3_R12",1287,3,"WarmS/CoolF","acer","acer_negundo",2025,79.4,9.62,NA,1,12.27,11.1000584318534,5.00597460556595,8.56376940717706,13.6768094202019,17.1835504818565,7348.02536
"28",28,"Acne_WarmS/CoolF_B3_R13",1288,3,"WarmS/CoolF","acer","acer_negundo",2025,72.6,10.45,NA,1,16.85,11.4647115241179,5.27013504047362,8.95382138631358,14.0569885807623,17.6830608573246,7928.1015
"29",29,"Acne_WarmS/CoolF_B3_R14",1289,3,"WarmS/CoolF","acer","acer_negundo",2025,57.7,6.36,NA,1,5.42,7.05760506264119,0.967103321269273,4.58858125678312,9.62653984329283,13.1717262380355,2333.94192
"30",30,"Acne_WarmS/CoolF_B3_R15",1290,3,"WarmS/CoolF","acer","acer_negundo",2025,62.6,7.74,NA,1,8.19,8.52119002154961,2.46976817175772,5.99809060826367,11.0136072494366,14.537117447184,3750.21576
"31",31,"Acne_CoolS/WarmF_B1_R1",1291,1,"CoolS/WarmF","acer","acer_negundo",2025,51.8,6.52,NA,1,5.78,6.84750447009536,0.742119300631693,4.36492999154759,9.35849922532975,12.9862919557651,2202.03872
"32",32,"Acne_CoolS/WarmF_B1_R2",1292,1,"CoolS/WarmF","acer","acer_negundo",2025,55.3,7.64,NA,1,7.96,8.11088994993042,2.05967104322407,5.57654738898203,10.5703509618133,14.2775358565603,3227.83888
"33",33,"Acne_CoolS/WarmF_B1_R3",1293,1,"CoolS/WarmF","acer","acer_negundo",2025,50.6,7.01,NA,1,5.22,7.28079181226808,1.06816285283774,4.78702212649554,9.80818668861963,13.459487803164,2486.48906
"34",34,"Acne_CoolS/WarmF_B1_R4",1294,1,"CoolS/WarmF","acer","acer_negundo",2025,58.8,7.98,NA,1,7.06,8.54001625267589,2.54288362131692,6.00901358956504,11.1207630349659,14.677738944762,3744.40752
"35",35,"Acne_CoolS/WarmF_B1_R5",1295,1,"CoolS/WarmF","acer","acer_negundo",2025,62.3,6.39,NA,1,6.08,7.31266854235704,1.2298170521849,4.8828552790946,9.75877532049756,13.3701829148665,2543.83983
"36",36,"Acne_CoolS/WarmF_B2_R6",1296,2,"CoolS/WarmF","acer","acer_negundo",2025,53.4,7.01,NA,1,6.36,7.42784716174297,1.43872702133023,4.90834930601204,9.86273165861856,13.4598989961965,2624.08134
"37",37,"Acne_CoolS/WarmF_B2_R7",1297,2,"CoolS/WarmF","acer","acer_negundo",2025,55.9,7.7,NA,1,7.35,8.10303739716074,2.00907999133234,5.57578097580249,10.6181100680905,14.2690925503966,3314.311
"38",38,"Acne_CoolS/WarmF_B2_R8",1298,2,"CoolS/WarmF","acer","acer_negundo",2025,61.8,8.48,NA,1,9.35,9.14259835660439,2.93068388346387,6.67759190370084,11.6770376668228,15.2557527325882,4444.06272
"39",39,"Acne_CoolS/WarmF_B2_R9",1299,2,"CoolS/WarmF","acer","acer_negundo",2025,54,7.73,NA,1,7.33,8.08820299268346,2.01044950927558,5.61907972750243,10.5786124648998,14.2211707209169,3226.6566
"40",40,"Acne_CoolS/WarmF_B2_R10",1300,2,"CoolS/WarmF","acer","acer_negundo",2025,44.9,6.76,NA,1,5.02,6.75185103699074,0.604393464797931,4.24070310661086,9.25689380339424,12.8730150145267,2051.82224
"41",41,"Acne_CoolS/WarmF_B3_R11",1301,3,"CoolS/WarmF","acer","acer_negundo",2025,60.3,8.82,NA,1,10.15,9.30002091028191,3.14964736261738,6.81493839056637,11.7925684239526,15.4525429211012,4690.88172
"42",42,"Acne_CoolS/WarmF_B3_R12",1302,3,"CoolS/WarmF","acer","acer_negundo",2025,32.7,4.68,NA,1,2.09,4.39195609480466,-1.66942973339175,1.88207937194423,6.85838929303598,10.4921039517389,716.20848
"43",43,"Acne_CoolS/WarmF_B3_R13",1303,3,"CoolS/WarmF","acer","acer_negundo",2025,75.2,9.26,NA,1,11.51,10.5531119634416,4.36151465462919,8.01438249352284,13.0648972235811,16.6770014976327,6448.21952
"44",44,"Acne_CoolS/WarmF_B3_R14",1304,3,"CoolS/WarmF","acer","acer_negundo",2025,42.4,7,NA,1,4.85,6.79647578573927,0.613309678684475,4.2348014564802,9.34960504816576,13.0305078197426,2077.6
"45",45,"Acne_CoolS/WarmF_B3_R15",1305,3,"CoolS/WarmF","acer","acer_negundo",2025,51,6.82,NA,1,5.67,7.15225561270882,0.925755021843623,4.66972672496635,9.64824201479285,13.3493477784789,2372.1324
"46",46,"Acne_WarmS/WarmF_B1_R1",1306,1,"WarmS/WarmF","acer","acer_negundo",2025,41.1,6.83,NA,1,5.32,6.49391058111908,0.384209198241806,4.00052775069666,9.01196323844391,12.5647808619155,1917.26979
"47",47,"Acne_WarmS/WarmF_B1_R2",1307,1,"WarmS/WarmF","acer","acer_negundo",2025,51.3,7.26,NA,1,5.17,7.47353231181798,1.41596966484422,4.98711887269866,9.95880112432243,13.4891385729781,2703.89988
"48",48,"Acne_WarmS/WarmF_B1_R3",1308,1,"WarmS/WarmF","acer","acer_negundo",2025,52.5,8.52,NA,1,6.49,8.5973526504501,2.48168172916929,6.0430076592533,11.1151886633956,14.7470620294666,3810.996
"49",49,"Acne_WarmS/WarmF_B1_R4",1309,1,"WarmS/WarmF","acer","acer_negundo",2025,36.4,5.89,NA,1,3.14,5.52249335861892,-0.591736865995736,2.93750462180575,8.04700667233038,11.6481922518838,1262.79244
"50",50,"Acne_WarmS/WarmF_B1_R5",1310,1,"WarmS/WarmF","acer","acer_negundo",2025,62.6,8.72,NA,1,10.86,9.32141150418158,3.11791632585872,6.79766439585696,11.8764503793813,15.4605849836363,4760.00384
"51",51,"Acne_WarmS/WarmF_B2_R6",1311,2,"WarmS/WarmF","acer","acer_negundo",2025,48.5,6.62,NA,1,6.1,6.81046183168247,0.707559921739575,4.37640283790474,9.34035095860519,12.7668109546805,2125.4834
"52",52,"Acne_WarmS/WarmF_B2_R7",1312,2,"WarmS/WarmF","acer","acer_negundo",2025,59.2,7.94,NA,1,8.14,8.43183910524709,2.42691783888888,5.8953242166826,10.891489787225,14.5791409306911,3732.18112
"53",53,"Acne_WarmS/WarmF_B2_R8",1313,2,"WarmS/WarmF","acer","acer_negundo",2025,62.8,8.14,NA,1,8.47,8.89134105631274,2.77780756108815,6.42261164390535,11.3332560858887,15.0628921047629,4161.10288
"54",54,"Acne_WarmS/WarmF_B2_R9",1314,2,"WarmS/WarmF","acer","acer_negundo",2025,74,7.97,NA,1,9.97,9.22281224798937,2.99824950281287,6.69980264157762,11.7872955873455,15.3197109181399,4700.5466
"55",55,"Acne_WarmS/WarmF_B2_R10",1315,2,"WarmS/WarmF","acer","acer_negundo",2025,53.4,7.4,NA,1,7.72,7.70566474171215,1.48847481722057,5.209157890659,10.2602160368453,13.7985581598608,2924.184
"56",56,"Acne_WarmS/WarmF_B3_R11",1316,3,"WarmS/WarmF","acer","acer_negundo",2025,63.9,7.4,NA,1,7.32,8.34264401424649,2.20636114405706,5.8581552375803,10.8783636997437,14.4996737044713,3499.164
"57",57,"Acne_WarmS/WarmF_B3_R12",1317,3,"WarmS/WarmF","acer","acer_negundo",2025,57.3,8.09,NA,1,8.61,8.54942838281451,2.30050464857574,6.05484983912348,11.1055348201431,14.6710817903106,3750.17613
"58",58,"Acne_WarmS/WarmF_B3_R13",1318,3,"WarmS/WarmF","acer","acer_negundo",2025,57.4,7.6,NA,1,7.12,8.19865634316913,2.11224424699159,5.67272021397121,10.7139808485307,14.3752801839609,3315.424
"59",59,"Acne_WarmS/WarmF_B3_R14",1319,3,"WarmS/WarmF","acer","acer_negundo",2025,54.5,7.63,"double-checked the measurement but still lower than previous year",1,6.25,7.91493053146416,1.75318632255231,5.40406121212494,10.448908788712,13.989093285526,3172.82105
"60",60,"Acne_WarmS/WarmF_B3_R15",1320,3,"WarmS/WarmF","acer","acer_negundo",2025,47,6.63,NA,1,6.38,6.75507744422592,0.64377748533095,4.27084115277494,9.30395190438318,12.8115459619426,2065.9743
"61",61,"Acne_CoolS/CoolF_B1_R1_nitro",1321,1,"CoolS/CoolF_nitro","acer","acer_negundo",2025,66.2,9.52,NA,1,11.5,10.2374675167322,3.99745559604782,7.70602308748494,12.7729520028352,16.4238644090395,5999.73248
"62",62,"Acne_CoolS/CoolF_B1_R2_nitro",1322,1,"CoolS/CoolF_nitro","acer","acer_negundo",2025,74.3,8.01,NA,1,9.7,9.40742301072124,3.23145237796701,6.92623683175537,11.8914471739856,15.5069493363831,4767.09543
"63",63,"Acne_CoolS/CoolF_B1_R3_nitro",1323,1,"CoolS/CoolF_nitro","acer","acer_negundo",2025,50.7,8.05,NA,1,7.2,8.13956982524141,2.05390662196621,5.60650471981759,10.6580795972221,14.2653432644722,3285.48675
"64",64,"Acne_CoolS/CoolF_B1_R4_nitro",1324,1,"CoolS/CoolF_nitro","acer","acer_negundo",2025,79.8,8.12,NA,1,10.4,9.74896595394573,3.59582288612624,7.24584596784123,12.2479980149615,15.9098082983718,5261.56512
"65",65,"Acne_CoolS/CoolF_B1_R5_nitro",1325,1,"CoolS/CoolF_nitro","acer","acer_negundo",2025,46.1,7.02,NA,1,5.97,6.98519441865562,0.894467214015115,4.54006794794097,9.52698196535047,13.0967613090219,2271.82644
"66",66,"Acne_CoolS/CoolF_B2_R6_nitro",1326,2,"CoolS/CoolF_nitro","acer","acer_negundo",2025,62.4,8.93,NA,1,11.73,9.56291391436107,3.42839288238182,7.00801925334013,12.0965723248928,15.6008782190717,4976.08176
"67",67,"Acne_CoolS/CoolF_B2_R7_nitro",1327,2,"CoolS/CoolF_nitro","acer","acer_negundo",2025,68.9,8.53,NA,1,10.56,9.56852980275189,3.43794879746272,7.05080103546895,12.0710295138697,15.6390590733357,5013.22601
"68",68,"Acne_CoolS/CoolF_B2_R8_nitro",1328,2,"CoolS/CoolF_nitro","acer","acer_negundo",2025,44.9,6.4,NA,1,4.2,6.473953399868,0.294834835859126,3.96605276666045,8.99118336374882,12.604606330762,1839.104
"69",69,"Acne_CoolS/CoolF_B2_R9_nitro",1329,2,"CoolS/CoolF_nitro","acer","acer_negundo",2025,61.9,9.57,NA,1,12.74,10.0865207534736,3.94022141892169,7.56706442346564,12.6415558950456,16.3374726754711,5669.10531
"70",70,"Acne_CoolS/CoolF_B2_R10_nitro",1330,2,"CoolS/CoolF_nitro","acer","acer_negundo",2025,68.3,7.94,NA,1,9.1,8.92504224513275,2.67842997384785,6.37854491082384,11.4689797799612,15.1061879509227,4305.87788
"71",71,"Acne_CoolS/CoolF_B3_R11_nitro",1331,3,"CoolS/CoolF_nitro","acer","acer_negundo",2025,64.2,6.95,NA,1,7.09,7.88385103136681,1.84139744382819,5.37307430530131,10.3923128519936,14.0014412536654,3101.0205
"72",72,"Acne_CoolS/CoolF_B3_R12_nitro",1332,3,"CoolS/CoolF_nitro","acer","acer_negundo",2025,51.3,7.75,NA,1,7.39,7.90404010425657,1.74548414927015,5.3902437998013,10.4431783085238,14.0143599477579,3081.20625
"73",73,"Acne_CoolS/CoolF_B3_R13_nitro",1333,3,"CoolS/CoolF_nitro","acer","acer_negundo",2025,54.9,6.93,NA,1,5.86,7.44860382366148,1.31686798834922,4.88595262527668,10.015718225075,13.5791645611721,2636.56701
"74",74,"Acne_CoolS/CoolF_B3_R14_nitro",1334,3,"CoolS/CoolF_nitro","acer","acer_negundo",2025,59.8,7.36,NA,1,6.6,8.02737926920807,1.79091202139056,5.51282803681274,10.5713364219001,14.2272741138392,3239.34208
"75",75,"Acne_CoolS/CoolF_B3_R15_nitro",1335,3,"CoolS/CoolF_nitro","acer","acer_negundo",2025,70.3,7.05,NA,1,7.14,8.28928479352084,2.15867562165243,5.77221806723084,10.7878333404786,14.3729774805089,3494.08575
"76",76,"Acne_WarmS/WarmF_B1_R1_nitro",1336,1,"WarmS/WarmF_nitro","acer","acer_negundo",2025,55.2,6.03,NA,1,5.46,6.64913372110426,0.697108397566366,4.12728507633215,9.12345178788149,12.8106514594563,2007.12168
"77",77,"Acne_WarmS/WarmF_B1_R2_nitro",1337,1,"WarmS/WarmF_nitro","acer","acer_negundo",2025,52.8,8,NA,1,8.12,8.1872978831941,2.16292330946798,5.69743740742408,10.6565819583611,14.2771737051014,3379.2
"78",78,"Acne_WarmS/WarmF_B1_R3_nitro",1338,1,"WarmS/WarmF_nitro","acer","acer_negundo",2025,42.6,6.63,NA,1,5.03,6.53764886103761,0.352205517528028,4.02024457208946,9.04877663743253,12.6672506308543,1872.56394
"79",79,"Acne_WarmS/WarmF_B1_R4_nitro",1339,1,"WarmS/WarmF_nitro","acer","acer_negundo",2025,41.3,5.35,NA,1,2.96,5.42314488154219,-0.763512602472618,2.88666168740182,7.93967396610156,11.5825790024937,1182.10925
"80",80,"Acne_WarmS/WarmF_B1_R5_nitro",1340,1,"WarmS/WarmF_nitro","acer","acer_negundo",2025,42.5,6.56,NA,1,5.38,6.42173308120686,0.214095761848023,3.93741088967973,8.87431012286177,12.6347433138187,1828.928
"81",81,"Acne_WarmS/WarmF_B2_R6_nitro",1341,2,"WarmS/WarmF_nitro","acer","acer_negundo",2025,41.5,7.44,NA,1,8,7.00260193567629,0.874357702319284,4.53172888234703,9.50743699842801,13.1109220423627,2297.1744
"82",82,"Acne_WarmS/WarmF_B2_R7_nitro",1342,2,"WarmS/WarmF_nitro","acer","acer_negundo",2025,64.6,7.82,NA,1,8.62,8.77572665903466,2.61666642525444,6.34244996468785,11.2544232527262,14.8708596447485,3950.44504
"83",83,"Acne_WarmS/WarmF_B2_R8_nitro",1343,2,"WarmS/WarmF_nitro","acer","acer_negundo",2025,69.7,8.66,NA,1,12.42,9.71935660578913,3.58686608628484,7.29180759245121,12.1555386080799,15.7517690997155,5227.19332
"84",84,"Acne_WarmS/WarmF_B2_R9_nitro",1344,2,"WarmS/WarmF_nitro","acer","acer_negundo",2025,56.5,6.18,NA,1,4.78,6.82581937753707,0.78000349565021,4.28430829567835,9.40716190987063,12.8692764570259,2157.8706
"85",85,"Acne_WarmS/WarmF_B2_R10_nitro",1345,2,"WarmS/WarmF_nitro","acer","acer_negundo",2025,76.2,8.23,NA,1,9.67,9.58459592017665,3.44917378761012,7.04853482333564,12.1262353022963,15.5959987243321,5161.24698
