"tree_ID";"bloc";"treatment";"genus";"species";"year";"height";"diameter";"notes"
"Acne_WarmS/WarmF_B2_R9";2;"WarmS/WarmF";"acer";"acer_negundo";2023;50,1;6,83;NA
"Acne_WarmS/WarmF_B2_R10";2;"WarmS/WarmF";"acer";"acer_negundo";2023;40,7;6,72;NA
"Acne_WarmS/WarmF_B3_R11";3;"WarmS/WarmF";"acer";"acer_negundo";2023;38,8;5,37;NA
"Acne_WarmS/WarmF_B3_R12";3;"WarmS/WarmF";"acer";"acer_negundo";2023;43,2;6,16;NA
"Acne_WarmS/WarmF_B3_R13";3;"WarmS/WarmF";"acer";"acer_negundo";2023;45,6;6,67;NA
"Acne_WarmS/WarmF_B3_R14";3;"WarmS/WarmF";"acer";"acer_negundo";2023;36,6;4,91;NA
"Acne_WarmS/WarmF_B3_R15";3;"WarmS/WarmF";"acer";"acer_negundo";2023;40,7;6,67;NA
"Acne_CoolS/CoolF_B1_R1_nitro";1;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;50,4;8,38;NA
"Acne_CoolS/CoolF_B1_R2_nitro";1;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;46;5,79;NA
"Acne_CoolS/CoolF_B1_R3_nitro";1;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;31,5;6,98;NA
"Acne_CoolS/CoolF_B1_R4_nitro";1;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;51,6;6,87;NA
"Acne_CoolS/CoolF_B1_R5_nitro";1;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;33,1;6,14;NA
"Acne_CoolS/CoolF_B2_R6_nitro";2;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;53;7,53;NA
"Acne_CoolS/CoolF_B2_R7_nitro";2;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;48;7,21;NA
"Acne_CoolS/CoolF_B2_R8_nitro";2;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;33,1;5,55;NA
"Acne_CoolS/CoolF_B2_R9_nitro";2;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;49;8,31;NA
"Acne_CoolS/CoolF_B2_R10_nitro";2;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;46,1;6,51;NA
"Acne_CoolS/CoolF_B3_R11_nitro";3;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;44,5;6,28;NA
"Acne_CoolS/CoolF_B3_R12_nitro";3;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;38,6;6,22;NA
"Acne_CoolS/CoolF_B3_R13_nitro";3;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;39,2;6,79;NA
"Acne_CoolS/CoolF_B3_R14_nitro";3;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;44,1;6,5;NA
"Acne_CoolS/CoolF_B3_R15_nitro";3;"CoolS/CoolF_nitro";"acer";"acer_negundo";2023;43,8;6,75;NA
"Acne_WarmS/WarmF_B1_R1_nitro";1;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;45,7;4,89;NA
"Acne_WarmS/WarmF_B1_R2_nitro";1;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;41,2;6,57;NA
"Acne_WarmS/WarmF_B1_R3_nitro";1;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;33,2;5,32;NA
"Acne_WarmS/WarmF_B1_R4_nitro";1;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;27,1;3,99;NA
"Acne_WarmS/WarmF_B1_R5_nitro";1;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;28,9;4,43;NA
"Acne_WarmS/WarmF_B2_R6_nitro";2;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;36,8;5,7;NA
"Acne_WarmS/WarmF_B2_R7_nitro";2;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;37,3;6,31;NA
"Acne_WarmS/WarmF_B2_R8_nitro";2;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;52,1;7,33;NA
"Acne_WarmS/WarmF_B2_R9_nitro";2;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;38,4;4,97;NA
"Acne_WarmS/WarmF_B2_R10_nitro";2;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;55;6,93;NA
"Acne_WarmS/WarmF_B3_R11_nitro";3;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;36,9;5,88;NA
"Acne_WarmS/WarmF_B3_R12_nitro";3;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;56,4;7,09;NA
"Acne_WarmS/WarmF_B3_R13_nitro";3;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;47,5;7,19;NA
"Acne_WarmS/WarmF_B3_R14_nitro";3;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;35,9;5,66;NA
"Acne_WarmS/WarmF_B3_R15_nitro";3;"WarmS/WarmF_nitro";"acer";"acer_negundo";2023;58,5;7,26;NA
"Bepa_CoolS/CoolF_B1_R1";1;"CoolS/CoolF";"betula";"betula_papyrifera";2023;49,8;6,04;NA
"Bepa_CoolS/CoolF_B1_R2";1;"CoolS/CoolF";"betula";"betula_papyrifera";2023;74,5;6,83;NA
"Bepa_CoolS/CoolF_B1_R3";1;"CoolS/CoolF";"betula";"betula_papyrifera";2023;40;5,89;NA
"Bepa_CoolS/CoolF_B1_R4";1;"CoolS/CoolF";"betula";"betula_papyrifera";2023;93,3;6,07;NA
"Bepa_CoolS/CoolF_B1_R5";1;"CoolS/CoolF";"betula";"betula_papyrifera";2023;57,1;5,28;NA
"Bepa_CoolS/CoolF_B2_R6";2;"CoolS/CoolF";"betula";"betula_papyrifera";2023;72,1;7,72;NA
"Bepa_CoolS/CoolF_B2_R7";2;"CoolS/CoolF";"betula";"betula_papyrifera";2023;92,9;5,5;NA
"Bepa_CoolS/CoolF_B2_R8";2;"CoolS/CoolF";"betula";"betula_papyrifera";2023;97,5;11,61;NA
"Bepa_CoolS/CoolF_B2_R9";2;"CoolS/CoolF";"betula";"betula_papyrifera";2023;88,5;7,8;NA
"Bepa_CoolS/CoolF_B2_R10";2;"CoolS/CoolF";"betula";"betula_papyrifera";2023;88,9;7,96;NA
"Bepa_CoolS/CoolF_B3_R11";3;"CoolS/CoolF";"betula";"betula_papyrifera";2023;65,1;6,76;NA
"Bepa_CoolS/CoolF_B3_R12";3;"CoolS/CoolF";"betula";"betula_papyrifera";2023;75,4;6,61;NA
"Bepa_CoolS/CoolF_B3_R13";3;"CoolS/CoolF";"betula";"betula_papyrifera";2023;89,3;8,91;NA
"Bepa_CoolS/CoolF_B3_R14";3;"CoolS/CoolF";"betula";"betula_papyrifera";2023;39,4;3,82;NA
"Bepa_CoolS/CoolF_B3_R15";3;"CoolS/CoolF";"betula";"betula_papyrifera";2023;68,8;6,95;NA
"Bepa_WarmS/CoolF_B1_R1";1;"WarmS/CoolF";"betula";"betula_papyrifera";2023;70;6,87;NA
"Bepa_WarmS/CoolF_B1_R2";1;"WarmS/CoolF";"betula";"betula_papyrifera";2023;45,2;4,06;NA
"Bepa_WarmS/CoolF_B1_R3";1;"WarmS/CoolF";"betula";"betula_papyrifera";2023;69,7;6,4;NA
"Bepa_WarmS/CoolF_B1_R4";1;"WarmS/CoolF";"betula";"betula_papyrifera";2023;81,9;6,4;NA
"Bepa_WarmS/CoolF_B1_R5";1;"WarmS/CoolF";"betula";"betula_papyrifera";2023;46,2;5,04;NA
"Bepa_WarmS/CoolF_B2_R6";2;"WarmS/CoolF";"betula";"betula_papyrifera";2023;106,7;7,33;NA
"Bepa_WarmS/CoolF_B2_R7";2;"WarmS/CoolF";"betula";"betula_papyrifera";2023;101,9;8,94;NA
"Bepa_WarmS/CoolF_B2_R8";2;"WarmS/CoolF";"betula";"betula_papyrifera";2023;63;6,27;NA
"Bepa_WarmS/CoolF_B2_R9";2;"WarmS/CoolF";"betula";"betula_papyrifera";2023;50,4;5,47;NA
"Bepa_WarmS/CoolF_B2_R10";2;"WarmS/CoolF";"betula";"betula_papyrifera";2023;48,1;7,74;NA
"Bepa_WarmS/CoolF_B3_R11";3;"WarmS/CoolF";"betula";"betula_papyrifera";2023;51,2;6,01;NA
"Bepa_WarmS/CoolF_B3_R12";3;"WarmS/CoolF";"betula";"betula_papyrifera";2023;55,6;7,04;NA
"Bepa_WarmS/CoolF_B3_R13";3;"WarmS/CoolF";"betula";"betula_papyrifera";2023;74,6;5,51;NA
"Bepa_WarmS/CoolF_B3_R14";3;"WarmS/CoolF";"betula";"betula_papyrifera";2023;74,6;8,77;NA
"Bepa_WarmS/CoolF_B3_R15";3;"WarmS/CoolF";"betula";"betula_papyrifera";2023;53,6;5,96;NA
