tree_ID,bloc,treatment,genus,species,Notes,102,103,106,109,113,116,120,123,127,130,134,137,141,144,148,151,155,158,162,169,171,179,182,186,193,200,207,214,221,228,235,242
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,doy186: unsure wheras 5-6,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,6,5,4,4,5,5,5,5,5
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,5,5,5,5,5,5,5,5,5
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,5,5,5,5,5,6,6,5,5
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,,3,NA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,5,5,5,5,5,5,5,5,5
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,4,4,4,5,5,5,5,5,5
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,4,4,5,5,5,5,5,5,6
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,5,5,5,5,6,6,6,6,6
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,,3,NA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,4,4,5,5,5,6,6,6,6
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,4,4,4,4,4,4,4,5,5
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,doy 242: apical and side shoots dead,3,NA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,na,5,5,5,5,5,6,6,6,na
