tree_ID,bloc,treatment,genus,species,Notes,102,103,106,109,113,116,120,123,
Acma_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,2,1,0,,,
Acma_CoolS/WarmF_B1_R2,1,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/WarmF_B1_R3,1,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/WarmF_B1_R4,1,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/WarmF_B1_R5,1,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,0,0,0,0,,,
Acma_CoolS/WarmF_B2_R6,2,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,0,0,1,0,,,
Acma_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_macrophyllum,116: stage 1 not 2,1,NA,2,2,2,1,,,
Acma_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,0,0,0,0,,,
Acma_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,0,0,0,0,,,
Acma_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_macrophyllum,,1,NA,2,2,2,2,,,
Acma_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_macrophyllum,,1,NA,2,2,2,2,,,
Acma_CoolS/WarmF_B3_R13,3,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/WarmF_B3_R14,3,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/WarmF_B3_R15,3,CoolS/WarmF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_WarmS/CoolF_B1_R1,1,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,1,2,2,,,,
Acma_WarmS/CoolF_B1_R2,1,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,1,2,2,,,,
Acma_WarmS/CoolF_B1_R3,1,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,3,4,4,4,4,4,
Acma_WarmS/CoolF_B1_R4,1,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,2,2,3,4,4,4,4,
Acma_WarmS/CoolF_B1_R5,1,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,1,1,1,,,,
Acma_WarmS/CoolF_B2_R6,2,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,2,2,2,,,,
Acma_WarmS/CoolF_B2_R7,2,WarmS/CoolF,acer,acer_macrophyllum,dead,NA,NA,NA,NA,NA,,,,
Acma_WarmS/CoolF_B2_R8,2,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,1,1,1,,,,
Acma_WarmS/CoolF_B2_R9,2,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,1,1,2,,,,
Acma_WarmS/CoolF_B2_R10,2,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,1,1,1,,,,
Acma_WarmS/CoolF_B3_R11,3,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,1,1,1,,,,
Acma_WarmS/CoolF_B3_R12,3,WarmS/CoolF,acer,acer_macrophyllum,dead,NA,NA,NA,NA,NA,,,,
