#,Date-Time (PDT),Temperature   (°C),Light   (lux),Host Connected,End of File
1,06-09-2024 13:09:00,38.09,72007.68,,
2,06-09-2024 13:09:21,,,Logged,
3,06-09-2024 13:09:41,,,Logged,Logged
