tree_ID,bloc,treatment,genus,species,Note,248_1,248_2,248_3,248_percent,255_1,255_2,255_3,255_percent,262_1,262_2,262_3,262_percent,269_1,269_2,269_3,269_percent,276_1,276_2,276_3,276_percent,283_1,283_2,283_3,283_percent,290_1,290_2,290_3,290_percent,297_1,297_2,297_3,297_percent,304_1,304_2,304_3,304_percent,311_1,311_2,311_3,311_percent,318_1,318_2,318_3,318_percent
Acne_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,doy283: last leaves fell,13.2,9.1,12.1,40,10.9,6.4,8.4,40,10,11.2,4.7,40,5.3,2.7,5.9,40,8.4,13.6,4.9,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,doy255: previous measurement percent wrong; doy283: last leaves fell,10,9.9,9.9,30,10.4,3.5,3.9,60,9,8,6.5,30,4.8,1.4,3.6,30,6.5,1.1,3.9,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,doy269: last percentage wrong?; doy283: no green leaves; doy290: last leaves fell,7.8,10.8,11.7,20,10.5,4.8,2.9,20,11.3,5,17.5,20,11.1,7.8,3.8,20,27.5,14.5,19.3,20,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy255: previous measurement percent wrong; doy283: no green leaves; doy290: last leaves fell,9.6,14.5,7.6,30,6.8,10.4,7.1,40,9.1,7,19.5,20,10.5,4.8,5.9,20,17.4,29.7,7.8,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy276: last leaves fell,5.8,5.1,4.3,60,5.8,3.6,3.8,50,3,4.4,4.3,20,1.7,1.6,1.4,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy283: last leaves fell,5.3,4,4.9,30,5.2,6.2,4.5,30,5.3,7.5,5,20,5,4.4,3.1,20,7.5,16.3,12.4,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,8.5,9,8.1,20,6.9,8.5,3.9,20,3.3,4.5,5.6,10,2.1,3.1,1.8,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy283: no green leaves; doy290: last leaves fell,6.2,5.8,7.1,30,5.8,4.4,8.3,30,6.9,8,4.9,20,7.1,2,1.4,10,17.4,12.1,10.3,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy283: no green leaves; doy290: last leaves fell,7.9,5.4,9.3,20,6.7,8,6.8,20,10.9,10.6,11.7,20,4.9,1.6,4,10,12.3,17,27.7,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy269: last leaves fell,4.2,2.9,8.6,20,4.9,5,5.7,20,10.1,3.4,8.4,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy269: last leaves fell,6.4,7.2,1.7,20,5.9,5.6,6.4,20,5.5,3.1,4.6,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,11,13.9,1.2,50,13.3,14,8,50,13.6,6.4,10.9,30,3.6,2.5,2.8,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy276: last leaves fell,7.8,5.9,6.2,10,5.2,4.9,6.4,20,7.9,5.9,5.5,10,na,na,na,na,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_negundo,doy304: no green leaves; doy311: last leaves fell,7.3,6.1,4.6,30,6,4.9,5.4,20,4.5,5.6,1.4,20,na,na,na,10,14,15.8,9.8,10,4.8,4.8,4.7,10,2.4,7.1,0,10,28.6,5.9,5.1,5,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B1_R2,1,CoolS/WarmF,acer,acer_negundo,doy304: no green leaves; doy311: last leaves fell,14.9,6.7,3.3,50,3.7,10.9,1.8,40,2.5,4.5,4.7,20,na,na,na,20,10.1,1.1,16.1,20,11.9,1.3,4.6,10,13.9,11.1,1.6,10,6.7,2.1,0.8,5,na,na,na,5,na,na,na,0,,,,
Acne_CoolS/WarmF_B1_R3,1,CoolS/WarmF,acer,acer_negundo,doy311: no green leaves,7.1,6,4.5,70,6.9,1.9,4.6,60,3.4,3.8,4.2,60,na,na,na,50,21.3,21.2,15.5,50,11.9,13.3,12.6,40,7.7,6.7,21,40,8.8,17.4,6.6,20,8.9,7.4,5.3,10,na,na,na,0,,,,
Acne_CoolS/WarmF_B1_R4,1,CoolS/WarmF,acer,acer_negundo,doy290: last leaves fell,17.1,11.4,12,70,7.5,11,3.3,60,5.1,6.5,6.1,60,na,na,na,50,20.2,6.2,6.2,40,16,6.6,4.7,20,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B1_R5,1,CoolS/WarmF,acer,acer_negundo,doy290: last leaves fell,8.5,11.2,12.5,70,4,8.1,1.8,50,3.6,5.2,1.5,30,na,na,na,20,6.5,1.4,3.8,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B2_R6,2,CoolS/WarmF,acer,acer_negundo,doy297: last leaves fell,7.4,11.1,7.9,40,9,8.7,5.1,40,4.9,1.5,5.5,40,na,na,na,40,18.5,18.2,3.9,20,6.8,16.4,9.1,20,0.5,2.3,0.6,5,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_negundo,doy304: no green leaves; doy311: last leaves fell,7.9,6,7.5,40,8.1,6.2,3.5,40,5.9,4.1,1.9,40,na,na,na,40,12.4,9.2,14.6,30,18.3,6.6,10,30,3.7,8.3,5.8,10,2.9,1,2.3,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,9.6,2.7,5.4,30,6.2,5.7,1.7,30,1.9,5.2,2.8,20,na,na,na,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_negundo,doy262: last leaves fell,4.6,7.6,5.2,10,4.4,2.2,2,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_negundo,doy255: last leaves fell,2,2.3,2.4,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_negundo,doy283: last leaves fell,9.1,5,7.5,30,6.8,4.3,2.2,30,3.3,5.3,5.7,20,na,na,na,10,9.2,9.5,8.3,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_negundo,doy283: no green leaves; doy290: last leaves fell,7.3,6.4,6.9,50,4.7,5.6,6.1,40,3.6,4.4,3.1,20,na,na,na,5,18.8,21.1,9.1,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
