tree_ID,bloc,treatment,genus,species,Note,ccm200plus,minolta
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,,5.5,21.4
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,,8.1,25.9
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,,6.3,22.8
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,,5.9,21.8
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,,5.4,18.3
Acne_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B3_R12,3,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B3_R13,3,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B3_R14,3,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B3_R15,3,CoolS/CoolF,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,3.7,15.1
Acne_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,5.3,18.5
Acne_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,4.8,13.9
Acne_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,4.3,18.1
Acne_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,6.6,23.7
Acne_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,,
Acne_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B1_R2,1,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B1_R3,1,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B1_R4,1,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B1_R5,1,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B2_R6,2,CoolS/WarmF,acer,acer_negundo,,4.7,19.5
Acne_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_negundo,,8.1,29.5
Acne_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_negundo,,6.5,23.5
Acne_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_negundo,,6.4,24.3
Acne_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_negundo,,6.6,21.2
Acne_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B3_R13,3,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B3_R14,3,CoolS/WarmF,acer,acer_negundo,,,
Acne_CoolS/WarmF_B3_R15,3,CoolS/WarmF,acer,acer_negundo,,,
Acne_WarmS/CoolF_B1_R1,1,WarmS/CoolF,acer,acer_negundo,,,
Acne_WarmS/CoolF_B1_R2,1,WarmS/CoolF,acer,acer_negundo,,,
