tree_ID,bloc,treatment,genus,species,Note,1,2,3
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,,20.5,15.2,20.7
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,,14,20.1,20.5
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,,25.8,21.2,17.1
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,,20.9,26.3,18.1
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,,23.4,20.6,19
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,,23.5,18.2,18.5
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,,24,21.7,18.9
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,,23.6,21.8,19.3
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,,17.4,18,14.6
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,,15.5,18.9,14.4
Acne_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_negundo,,23.6,21,17.5
Acne_CoolS/CoolF_B3_R12,3,CoolS/CoolF,acer,acer_negundo,,16.7,18.5,14
Acne_CoolS/CoolF_B3_R13,3,CoolS/CoolF,acer,acer_negundo,,19,14.4,15.7
Acne_CoolS/CoolF_B3_R14,3,CoolS/CoolF,acer,acer_negundo,,15.7,17.3,16.4
Acne_CoolS/CoolF_B3_R15,3,CoolS/CoolF,acer,acer_negundo,,20.4,21.3,18.7
Acne_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,17.2,22.2,17.2
Acne_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,17,17.3,14.6
Acne_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,16.4,27.9,17.4
Acne_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,12.2,17.6,18
Acne_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,20.1,17.2,19.2
Acne_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,21.3,20.9,19.9
Acne_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,20.3,20.1,14.9
Acne_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,15.8,18,12.5
Acne_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,17.2,20.4,14.5
Acne_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,16.6,14.9,15.7
Acne_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,severe affected by mildew,19.7,13.7,26.4
Acne_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,severe affected by mildew,16.8,20.5,16.3
Acne_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,12.1,13.5,14.8
Acne_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,30.3,16.5,20.4
Acne_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,20,19.5,18.4
Acne_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_negundo,,22.9,21.4,16.8
Acne_CoolS/WarmF_B1_R2,1,CoolS/WarmF,acer,acer_negundo,,2.4,20.2,19.9
Acne_CoolS/WarmF_B1_R3,1,CoolS/WarmF,acer,acer_negundo,,19.6,16.1,18.3
Acne_CoolS/WarmF_B1_R4,1,CoolS/WarmF,acer,acer_negundo,,14.7,19.9,17.2
Acne_CoolS/WarmF_B1_R5,1,CoolS/WarmF,acer,acer_negundo,,21.4,19,17.9
